Total,,CCDIS,,CC1pi,,CC1p1h,,CC2p2h,,NC,,CCother,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.06083917825884402,0.11690261761915577,0.9078196688091488,0.0035863350294997876,0.5000131909293029,0.02558253622538298,0.07145841093358539,0.11904820833571217,0.06864135540619393,-0.0003048210157804432,0.06864135540619393,0.01660534310623174,2.029315917369397,0.008786665071322863
0.06567069258502538,0.12570317615147186,0.9918091168281863,0.005440998191268753,0.5425197345783453,0.03206086945430742,0.07806958350104293,0.12490312537580672,0.07499190028853536,-0.0003048210157804432,0.07499190028853536,0.017987248991471416,2.2170636932902292,0.009623081791336308
0.07088589931718858,0.13450373468378785,1.0835690809760463,0.007622954852173569,0.592712448629631,0.03944315615703531,0.08529240698748503,0.1283942560332545,0.08192998339858193,-0.0003048210157804432,0.08192998339858193,0.02104198831673809,2.4221814740789624,0.010459498511349863
0.07682363649967003,0.14264970621783246,1.1838184720484561,0.010132205012214124,0.6449496427160519,0.047138189981159595,0.09318346996973031,0.13181265480200532,0.08950996246081407,-0.0003048210157804432,0.08950996246081407,0.024351289252443786,2.6462762937877016,0.011114085509621341
0.08393118775253784,0.14955923564403106,1.2933427128621835,0.013041480560087138,0.7017906281558203,0.055698733280776125,0.10180459647332628,0.13530378545945299,0.0977912242549657,-0.0003048210157804432,0.0977912242549657,0.02766059018814937,2.8911038656695123,0.011623208730499046
0.0916963137716348,0.15635966723718442,1.4129998917986508,0.016423513384489663,0.7636411483123732,0.06413926896404276,0.11122333034457176,0.13875855017255234,0.10683864989298329,-0.0003048210157804432,0.10683864989298329,0.030933525179506538,3.1585823376460205,0.012095966007028447
0.10017985190554939,0.16323283071903438,1.5437274856596712,0.020205571596724647,0.8309427057016244,0.0732998503454082,0.12151346443555673,0.1422496808299999,0.11672312314236984,-0.0003048210157804432,0.11672312314236984,0.034315558003909064,3.4508073204001035,0.01238689356181577
0.10944826803847305,0.17003326231218774,1.6865497045067843,0.02456948491853428,0.900546384961992,0.08205596161240947,0.13275561874822012,0.1462863006526739,0.12752208577846894,-0.0003048210157804432,0.12752208577846894,0.038206714049189294,3.770068305834198,0.012495991394861017
0.1195741773297418,0.17690642579403792,1.842585516028704,0.029515253349918447,0.9759803966066947,0.09090096741004028,0.14503787206700447,0.15072294586318025,0.13932014431670237,-0.0003048210157804432,0.13932014431670237,0.043297946257967124,4.1188666045276525,0.012495991394861017
0.13011254129246821,0.18474692339555576,2.0220737664683566,0.035386333031945605,1.06627592291527,0.10010155133018883,0.158456452028753,0.1549050294632478,0.15220973287831852,-0.0003048210157804432,0.15220973287831852,0.048534642244138615,4.499934942727595,0.012495991394861017
0.14101138128436072,0.19342747431152207,2.1993009876532383,0.0413341852631528,1.1649253896305267,0.10890210986250493,0.17311648903633192,0.15952350439549623,0.16629183738299938,-0.0003048210157804432,0.16629183738299938,0.053698606341613386,4.916258872409638,0.012277795728770524
0.15282315950641098,0.20210802522748839,2.402775402591868,0.048134616856306045,1.2727016846592265,0.11719354517394309,0.1891328399226577,0.16596027654516554,0.18167678674215013,0.001586208090337049,0.18167678674215013,0.05915349799387537,5.371100162149515,0.0119868681739832
0.16562434796964987,0.2107885761434547,2.6250748159127313,0.05548053761468563,1.3904492017709096,0.12464856376536781,0.20663098781827974,0.17283344002701562,0.19848511725162443,0.00547736413561728,0.19848511725162443,0.06479021936787943,5.868022352066006,0.011695940619195877
0.17805972085974608,0.21925911373080886,2.8679408744179455,0.06333558159394292,1.5190904561606102,0.13090350619329494,0.2257480252727022,0.17916111434363957,0.21684851695613422,0.009332154236548984,0.21684851695613422,0.07053603857492874,6.410918673050011,0.011259549287015003
0.18989507186447482,0.2284096944774784,3.1332763581815626,0.07169974879407803,1.6596333120686395,0.13570381084728556,0.24663372833189443,0.18319773416631346,0.23691085738414455,0.011695940619195877,0.23691085738414455,0.07562727078370657,7.004042549018389,0.010786792010485602
0.2025171001296687,0.23751027205066877,3.4231600882399538,0.08024574571595511,1.8131788790836196,0.13999499228039836,0.26945172998705363,0.18683432860115468,0.2588293207365777,0.013114212448783968,0.2588293207365777,0.08039120949334877,7.652040921168206,0.01024130284525937
0.21597809486178096,0.2467608591442964,3.7398632135084595,0.08930086585871011,1.9809301389938385,0.14359522077089126,0.294380802188226,0.19010726359251195,0.2827756313604974,0.014496118334023755,0.2827756313604974,0.08464602498211315,8.359990655316475,0.009586715846988003
0.23312989226158162,0.25600235475183697,4.085867004527135,0.09828325411276817,2.1642013707756047,0.14475893099004056,0.32161625646696407,0.19301653914038497,0.30893740115598767,0.015950756107960373,0.30893740115598767,0.08813715563956082,9.133438317565753,0.00889576290436811
0.2546985491661771,0.26418469223023,4.499934942727595,0.10890210986250493,2.3644284475605026,0.14526805421091826,0.3513714741414652,0.1957076190221676,0.3375195994570717,0.017441759826245185,0.3375195994570717,0.09228287329527995,10.222174972342026,0.00809571212870297
0.27826269003104565,0.27251249348601664,4.8965251873276605,0.11818269886022004,2.5419539731115757,0.1450186877353863,0.3838795780928696,0.19818050323785974,0.3687461589027297,0.01900549543322705,0.3687461589027297,0.0971559098379674,11.303477384179885,0.007295661353037941
0.30400693257500566,0.27931292507916994,5.306681226114101,0.12694325485375269,2.8679408744179455,0.14257697432913563,0.4193952592105692,0.20050792367615822,0.40286172987951563,0.02049649915151197,0.40286172987951563,0.101701652881519,14.016497735734397,0.007462686567164201
0.32947198676308215,0.28638004026421165,5.751193868760834,0.13582381846363523,3.1332763581815626,0.13970406472561103,0.4581967718161552,0.20268988033706303,0.4401335972812878,0.02209660070284214,0.4401335972812878,0.10584737053723814,20.018229406940282,0.005597014925373123
0.3527875505940977,0.29531394059247185,6.232940986412484,0.14470438207351788,3.4231600882399538,0.13610383623511813,0.5005881136995339,0.20465364133187725,0.480853774603267,0.023733068198520724,0.480853774603267,0.10959306280512471,28.05854671557896,0.003731343283582156
0.3762367870144361,0.3038644832573925,6.755041514271055,0.15358494568340042,3.7398632135084595,0.1313035315811275,0.546901407847112,0.2062537428832074,0.5253412917769997,0.02536953569419942,0.5253412917769997,0.11297509562952723,,
0.4012446574845615,0.31236502274883415,7.320875644258137,0.1622254940605834,4.085867004527135,0.12621229937234968,0.5974995045221586,0.20770838065714403,0.5739446946707025,0.027115101022923138,0.5739446946707025,0.11606620089914232,,
0.42791476197069916,0.3209155654137549,7.966082274886252,0.1709060449765497,4.463882293444142,0.12152109255140431,0.6527788240838228,0.20916301843108065,0.6270447758377934,0.028824300407298553,0.6270447758377934,0.11846635322613763,,
