CC1p1h,,CCDIS,,CC2p2h,,CC1pi,,CCother,,NC,,Total,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.47134479393404605,0.6757035902011366,23.292110685235997,0.5972995849716034,0.5358845323407,0.07868010971675377,2.3068985265322444,0.3361095890632375,,,0.5273569311958888,0.3029147351475068,0.27101434382841555,0.7581390903918641
0.5148192923848498,0.6735744742065415,26.000372241792817,0.6015071237228269,0.585311855121983,0.08448678970201273,2.5196753678352186,0.31520554111630505,,,0.575997710479651,0.31394742711949886,0.284375362340449,0.781468118504069
0.56230366225011,0.6655419002269334,,,0.6392981082135964,0.08942246768948303,2.7520776862340264,0.2927530451733036,,,0.6291248732152557,0.3219800010991072,0.3007979965128283,0.8062571118697106
0.6141677541165714,0.6529607602588721,,,0.6982637846628049,0.09329358767965568,3.0059156380825294,0.2718489972263709,,,0.6825747518264375,0.32685116042007456,0.31689564462670267,0.8294999614773726
0.6708155317487796,0.6362181663013753,,,0.7626681617032421,0.0960033716727764,3.2831663395495996,0.2512352832787015,,,0.7505317227945768,0.32991579707896124,0.3298622969914608,0.851500826754854
0.7268351579465512,0.6161743672411477,,,0.833012878015277,0.09745504166909136,3.5859892661616892,0.23217001732710085,,,0.8197570343707934,0.32991579707896124,0.34061659695358754,0.8738565446981011
0.7812417817783932,0.5934637966321346,,,0.9149119853751096,0.10119216135191178,3.916743072722582,0.21368541937402608,,,0.8953673442319338,0.3280770150836292,0.35172151282038167,0.8964784021406729
0.8363601971363442,0.5712559339662897,,,0.9937654940451875,0.09590659367302212,4.278003964618846,0.19665249141726626,,,0.9779515728489964,0.3246897850922281,0.3631884755090616,0.9188341200839201
0.8953673442319338,0.5478060869702646,,,1.085425478386449,0.09097091568555205,4.6725857636030925,0.1814583454558385,,,1.0681529597868438,0.3199476631042666,0.3750292886120911,0.9414559775264918
0.9585375820870824,0.5230846845885784,,,1.1855397235968832,0.08409967770299565,5.103561824345232,0.16694164549269108,,,1.1666740738271368,0.31481842911728775,0.3872561405472844,0.9640778349690634
1.0179671372460375,0.49966440864803374,,,1.2948880086319163,0.0773252177201933,5.5742889724573725,0.15348950352684088,,,1.2742822852000792,0.30910852713178305,0.39988161710403325,0.986699692411635
1.0767545854866547,0.4767003718491878,,,1.4143220353777592,0.07093786973640825,6.088433650443019,0.14129547555779687,,,1.391815742547588,0.3031082911470153,0.41291871439856986,1.0093215498542067
1.1389369999734247,0.4534321756225428,,,1.5447720624646646,0.06513118975114929,6.650000475218523,0.1297788935870332,,,1.5201899011718096,0.29643060916396746,0.4280941904451262,1.0340725232913734
1.2047104394936816,0.4303160591097972,,,1.6872541509501104,0.05990517776441617,7.2633634296382255,0.11913331361405821,,,1.6604046534167853,0.288978703182885,0.44561083556473197,1.0606864732238106
1.2742822852000792,0.4071999425970516,,,1.8428780783077485,0.054872721777191824,7.9332999309706596,0.10964906963813537,,,1.8014711267816081,0.2832042825308776,0.4638442221470681,1.0868745999573288
1.3478718944754808,0.38454006522600515,,,2.0128559823633116,0.050420933788493105,8.665028041681492,0.10074549366073815,,,1.980825140001496,0.2767846752138412,0.4828236776301741,1.1128498150913875
1.4314402684202163,0.36153800849868434,,,2.1985118025041612,0.04616270179930315,9.464247112353915,0.09261614168137555,,,2.1635265946236046,0.269429547232513,0.5025797294644603,1.1371217374297702
