theta23,dm31,chi2
48.4461,-0.0015,497.518
49.0239,-0.0015,497.812
49.6034,-0.0015,498.167
50.1849,-0.0015,498.585
50.7685,-0.0015,499.07
51.3545,-0.0015,499.625
51.9433,-0.0015,500.253
52.535,-0.0015,500.959
53.1301,-0.0015,501.745
53.7288,-0.0015,502.616
54.3315,-0.0015,503.575
54.9384,-0.0015,504.625
55.5501,-0.0015,505.77
56.1668,-0.0015,507.012
56.7891,-0.0015,508.355
33.2109,-0.00155,509.827
33.8332,-0.00155,508.345
34.4499,-0.00155,506.962
35.0616,-0.00155,505.676
35.6685,-0.00155,504.485
36.2712,-0.00155,503.387
36.8699,-0.00155,502.377
37.465,-0.00155,501.454
38.0567,-0.00155,500.612
38.6455,-0.00155,499.85
39.2315,-0.00155,499.164
39.8151,-0.00155,498.55
40.3966,-0.00155,498.005
40.9761,-0.00155,497.526
41.5539,-0.00155,497.111
42.1304,-0.00155,496.755
42.7057,-0.00155,496.457
43.2801,-0.00155,496.216
43.8538,-0.00155,496.028
44.427,-0.00155,495.894
45,-0.00155,495.812
45.573,-0.00155,495.781
46.1462,-0.00155,495.802
46.7199,-0.00155,495.876
47.2943,-0.00155,496.002
47.8696,-0.00155,496.183
48.4461,-0.00155,496.421
49.0239,-0.00155,496.717
49.6034,-0.00155,497.075
50.1849,-0.00155,497.496
50.7685,-0.00155,497.984
51.3545,-0.00155,498.543
51.9433,-0.00155,499.175
52.535,-0.00155,499.885
53.1301,-0.00155,500.675
53.7288,-0.00155,501.551
54.3315,-0.00155,502.514
54.9384,-0.00155,503.569
55.5501,-0.00155,504.719
56.1668,-0.00155,505.967
56.7891,-0.00155,507.315
33.2109,-0.00159444,509.058
33.8332,-0.00159444,507.569
34.4499,-0.00159444,506.18
35.0616,-0.00159444,504.89
35.6685,-0.00159444,503.694
36.2712,-0.00159444,502.591
36.8699,-0.00159444,501.577
37.465,-0.00159444,500.649
38.0567,-0.00159444,499.804
38.6455,-0.00159444,499.038
39.2315,-0.00159444,498.348
39.8151,-0.00159444,497.731
40.3966,-0.00159444,497.182
40.9761,-0.00159444,496.7
41.5539,-0.00159444,496.281
42.1304,-0.00159444,495.923
42.7057,-0.00159444,495.623
43.2801,-0.00159444,495.379
43.8538,-0.00159444,495.19
44.427,-0.00159444,495.054
45,-0.00159444,494.97
45.573,-0.00159444,494.939
46.1462,-0.00159444,494.96
46.7199,-0.00159444,495.033
47.2943,-0.00159444,495.16
47.8696,-0.00159444,495.341
48.4461,-0.00159444,495.58
49.0239,-0.00159444,495.877
49.6034,-0.00159444,496.236
50.1849,-0.00159444,496.659
50.7685,-0.00159444,497.149
51.3545,-0.00159444,497.709
51.9433,-0.00159444,498.344
52.535,-0.00159444,499.056
53.1301,-0.00159444,499.849
53.7288,-0.00159444,500.727
54.3315,-0.00159444,501.693
54.9384,-0.00159444,502.751
55.5501,-0.00159444,503.904
56.1668,-0.00159444,505.155
56.7891,-0.00159444,506.507
33.2109,-0.00163889,508.416
33.8332,-0.00163889,506.923
34.4499,-0.00163889,505.531
35.0616,-0.00163889,504.237
35.6685,-0.00163889,503.038
36.2712,-0.00163889,501.932
36.8699,-0.00163889,500.915
37.465,-0.00163889,499.985
38.0567,-0.00163889,499.137
38.6455,-0.00163889,498.369
39.2315,-0.00163889,497.676
39.8151,-0.00163889,497.056
40.3966,-0.00163889,496.506
40.9761,-0.00163889,496.022
41.5539,-0.00163889,495.601
42.1304,-0.00163889,495.241
42.7057,-0.00163889,494.939
43.2801,-0.00163889,494.693
43.8538,-0.00163889,494.503
44.427,-0.00163889,494.365
45,-0.00163889,494.281
45.573,-0.00163889,494.248
46.1462,-0.00163889,494.268
46.7199,-0.00163889,494.341
47.2943,-0.00163889,494.467
47.8696,-0.00163889,494.649
48.4461,-0.00163889,494.887
49.0239,-0.00163889,495.185
49.6034,-0.00163889,495.543
50.1849,-0.00163889,495.967
50.7685,-0.00163889,496.457
51.3545,-0.00163889,497.018
51.9433,-0.00163889,497.653
52.535,-0.00163889,498.366
53.1301,-0.00163889,499.159
53.7288,-0.00163889,500.038
54.3315,-0.00163889,501.005
54.9384,-0.00163889,502.064
55.5501,-0.00163889,503.217
56.1668,-0.00163889,504.47
56.7891,-0.00163889,505.823
33.2109,-0.00168333,507.905
33.8332,-0.00168333,506.41
34.4499,-0.00168333,505.016
35.0616,-0.00168333,503.72
35.6685,-0.00168333,502.52
36.2712,-0.00168333,501.413
36.8699,-0.00168333,500.395
37.465,-0.00168333,499.463
38.0567,-0.00168333,498.615
38.6455,-0.00168333,497.845
39.2315,-0.00168333,497.152
39.8151,-0.00168333,496.531
40.3966,-0.00168333,495.979
40.9761,-0.00168333,495.494
41.5539,-0.00168333,495.072
42.1304,-0.00168333,494.711
42.7057,-0.00168333,494.408
43.2801,-0.00168333,494.161
43.8538,-0.00168333,493.969
44.427,-0.00168333,493.831
45,-0.00168333,493.745
45.573,-0.00168333,493.712
46.1462,-0.00168333,493.731
46.7199,-0.00168333,493.802
47.2943,-0.00168333,493.928
47.8696,-0.00168333,494.108
48.4461,-0.00168333,494.346
49.0239,-0.00168333,494.642
49.6034,-0.00168333,495
50.1849,-0.00168333,495.422
50.7685,-0.00168333,495.911
51.3545,-0.00168333,496.471
51.9433,-0.00168333,497.105
52.535,-0.00168333,497.816
53.1301,-0.00168333,498.609
53.7288,-0.00168333,499.486
54.3315,-0.00168333,500.452
54.9384,-0.00168333,501.51
55.5501,-0.00168333,502.662
56.1668,-0.00168333,503.914
56.7891,-0.00168333,505.267
33.2109,-0.00172778,507.517
33.8332,-0.00172778,506.021
34.4499,-0.00172778,504.626
35.0616,-0.00172778,503.33
35.6685,-0.00172778,502.13
36.2712,-0.00172778,501.023
36.8699,-0.00172778,500.006
37.465,-0.00172778,499.075
38.0567,-0.00172778,498.226
38.6455,-0.00172778,497.457
39.2315,-0.00172778,496.764
39.8151,-0.00172778,496.143
40.3966,-0.00172778,495.591
40.9761,-0.00172778,495.106
41.5539,-0.00172778,494.684
42.1304,-0.00172778,494.322
42.7057,-0.00172778,494.018
43.2801,-0.00172778,493.771
43.8538,-0.00172778,493.578
44.427,-0.00172778,493.439
45,-0.00172778,493.352
45.573,-0.00172778,493.318
46.1462,-0.00172778,493.335
46.7199,-0.00172778,493.405
47.2943,-0.00172778,493.529
47.8696,-0.00172778,493.708
48.4461,-0.00172778,493.943
49.0239,-0.00172778,494.238
49.6034,-0.00172778,494.593
50.1849,-0.00172778,495.013
50.7685,-0.00172778,495.5
51.3545,-0.00172778,496.057
51.9433,-0.00172778,496.689
52.535,-0.00172778,497.397
53.1301,-0.00172778,498.187
53.7288,-0.00172778,499.061
54.3315,-0.00172778,500.024
54.9384,-0.00172778,501.078
55.5501,-0.00172778,502.228
56.1668,-0.00172778,503.477
56.7891,-0.00172778,504.827
33.2109,-0.00177222,507.232
33.8332,-0.00177222,505.736
34.4499,-0.00177222,504.342
35.0616,-0.00177222,503.048
35.6685,-0.00177222,501.849
36.2712,-0.00177222,500.743
36.8699,-0.00177222,499.727
37.465,-0.00177222,498.798
38.0567,-0.00177222,497.951
38.6455,-0.00177222,497.183
39.2315,-0.00177222,496.491
39.8151,-0.00177222,495.871
40.3966,-0.00177222,495.32
40.9761,-0.00177222,494.835
41.5539,-0.00177222,494.413
42.1304,-0.00177222,494.052
42.7057,-0.00177222,493.748
43.2801,-0.00177222,493.5
43.8538,-0.00177222,493.307
44.427,-0.00177222,493.167
45,-0.00177222,493.079
45.573,-0.00177222,493.043
46.1462,-0.00177222,493.059
46.7199,-0.00177222,493.127
47.2943,-0.00177222,493.249
47.8696,-0.00177222,493.425
48.4461,-0.00177222,493.658
49.0239,-0.00177222,493.95
49.6034,-0.00177222,494.303
50.1849,-0.00177222,494.719
50.7685,-0.00177222,495.202
51.3545,-0.00177222,495.756
51.9433,-0.00177222,496.383
52.535,-0.00177222,497.088
53.1301,-0.00177222,497.873
53.7288,-0.00177222,498.743
54.3315,-0.00177222,499.701
54.9384,-0.00177222,500.751
55.5501,-0.00177222,501.896
56.1668,-0.00177222,503.14
56.7891,-0.00177222,504.486
33.2109,-0.00181667,507.026
33.8332,-0.00181667,505.532
34.4499,-0.00181667,504.14
35.0616,-0.00181667,502.847
35.6685,-0.00181667,501.65
36.2712,-0.00181667,500.547
36.8699,-0.00181667,499.533
37.465,-0.00181667,498.606
38.0567,-0.00181667,497.761
38.6455,-0.00181667,496.995
39.2315,-0.00181667,496.305
39.8151,-0.00181667,495.687
40.3966,-0.00181667,495.137
40.9761,-0.00181667,494.653
41.5539,-0.00181667,494.232
42.1304,-0.00181667,493.871
42.7057,-0.00181667,493.568
43.2801,-0.00181667,493.32
43.8538,-0.00181667,493.127
44.427,-0.00181667,492.986
45,-0.00181667,492.897
45.573,-0.00181667,492.859
46.1462,-0.00181667,492.873
46.7199,-0.00181667,492.94
47.2943,-0.00181667,493.059
47.8696,-0.00181667,493.233
48.4461,-0.00181667,493.462
49.0239,-0.00181667,493.75
49.6034,-0.00181667,494.099
50.1849,-0.00181667,494.512
50.7685,-0.00181667,494.991
51.3545,-0.00181667,495.54
51.9433,-0.00181667,496.162
52.535,-0.00181667,496.861
53.1301,-0.00181667,497.641
53.7288,-0.00181667,498.506
54.3315,-0.00181667,499.458
54.9384,-0.00181667,500.503
55.5501,-0.00181667,501.642
56.1668,-0.00181667,502.88
56.7891,-0.00181667,504.221
33.2109,-0.00186111,506.875
33.8332,-0.00186111,505.382
34.4499,-0.00186111,503.992
35.0616,-0.00186111,502.701
35.6685,-0.00186111,501.507
36.2712,-0.00186111,500.406
36.8699,-0.00186111,499.395
37.465,-0.00186111,498.47
38.0567,-0.00186111,497.627
38.6455,-0.00186111,496.864
39.2315,-0.00186111,496.176
39.8151,-0.00186111,495.56
40.3966,-0.00186111,495.012
40.9761,-0.00186111,494.53
41.5539,-0.00186111,494.11
42.1304,-0.00186111,493.75
42.7057,-0.00186111,493.447
43.2801,-0.00186111,493.199
43.8538,-0.00186111,493.005
44.427,-0.00186111,492.864
45,-0.00186111,492.774
45.573,-0.00186111,492.735
46.1462,-0.00186111,492.747
46.7199,-0.00186111,492.811
47.2943,-0.00186111,492.928
47.8696,-0.00186111,493.098
48.4461,-0.00186111,493.324
49.0239,-0.00186111,493.609
49.6034,-0.00186111,493.953
50.1849,-0.00186111,494.361
50.7685,-0.00186111,494.836
51.3545,-0.00186111,495.379
51.9433,-0.00186111,495.996
52.535,-0.00186111,496.69
53.1301,-0.00186111,497.464
53.7288,-0.00186111,498.323
54.3315,-0.00186111,499.269
54.9384,-0.00186111,500.307
55.5501,-0.00186111,501.441
56.1668,-0.00186111,502.673
56.7891,-0.00186111,504.007
33.2109,-0.00190556,506.76
33.8332,-0.00190556,505.268
34.4499,-0.00190556,503.879
35.0616,-0.00190556,502.59
35.6685,-0.00190556,501.398
36.2712,-0.00190556,500.299
36.8699,-0.00190556,499.29
37.465,-0.00190556,498.367
38.0567,-0.00190556,497.527
38.6455,-0.00190556,496.766
39.2315,-0.00190556,496.08
39.8151,-0.00190556,495.466
40.3966,-0.00190556,494.92
40.9761,-0.00190556,494.439
41.5539,-0.00190556,494.021
42.1304,-0.00190556,493.661
42.7057,-0.00190556,493.359
43.2801,-0.00190556,493.112
43.8538,-0.00190556,492.917
44.427,-0.00190556,492.775
45,-0.00190556,492.684
45.573,-0.00190556,492.644
46.1462,-0.00190556,492.654
46.7199,-0.00190556,492.716
47.2943,-0.00190556,492.829
47.8696,-0.00190556,492.997
