theta23,dm31,chi2
35.0616,0.00165,504.983
35.6685,0.00165,503.837
36.2712,0.00165,502.783
36.8699,0.00165,501.818
37.465,0.00165,500.939
38.0567,0.00165,500.141
38.6455,0.00165,499.422
39.2315,0.00165,498.779
39.8151,0.00165,498.206
40.3966,0.00165,497.702
40.9761,0.00165,497.264
41.5539,0.00165,496.888
42.1304,0.00165,496.572
42.7057,0.00165,496.313
43.2801,0.00165,496.11
43.8538,0.00165,495.961
44.427,0.00165,495.865
45,0.00165,495.822
45.573,0.00165,495.831
46.1462,0.00165,495.893
46.7199,0.00165,496.008
47.2943,0.00165,496.177
47.8696,0.00165,496.403
48.4461,0.00165,496.686
49.0239,0.00165,497.03
49.6034,0.00165,497.437
50.1849,0.00165,497.909
50.7685,0.00165,498.451
51.3545,0.00165,499.064
51.9433,0.00165,499.754
52.535,0.00165,500.523
53.1301,0.00165,501.375
53.7288,0.00165,502.312
54.3315,0.00165,503.34
54.9384,0.00165,504.46
55.5501,0.00165,505.677
56.1668,0.00165,506.992
56.7891,0.00165,508.408
33.2109,0.0017,508.149
33.8332,0.0017,506.701
34.4499,0.0017,505.354
35.0616,0.0017,504.106
35.6685,0.0017,502.954
36.2712,0.0017,501.894
36.8699,0.0017,500.923
37.465,0.0017,500.037
38.0567,0.0017,499.234
38.6455,0.0017,498.51
39.2315,0.0017,497.86
39.8151,0.0017,497.283
40.3966,0.0017,496.774
40.9761,0.0017,496.33
41.5539,0.0017,495.949
42.1304,0.0017,495.628
42.7057,0.0017,495.365
43.2801,0.0017,495.158
43.8538,0.0017,495.005
44.427,0.0017,494.906
45,0.0017,494.86
45.573,0.0017,494.867
46.1462,0.0017,494.926
46.7199,0.0017,495.039
47.2943,0.0017,495.206
47.8696,0.0017,495.43
48.4461,0.0017,495.712
49.0239,0.0017,496.055
49.6034,0.0017,496.461
50.1849,0.0017,496.933
50.7685,0.0017,497.474
51.3545,0.0017,498.087
51.9433,0.0017,498.776
52.535,0.0017,499.545
53.1301,0.0017,500.396
53.7288,0.0017,501.334
54.3315,0.0017,502.361
54.9384,0.0017,503.482
55.5501,0.0017,504.698
56.1668,0.0017,506.014
56.7891,0.0017,507.431
33.2109,0.00175,507.452
33.8332,0.00175,505.999
34.4499,0.00175,504.647
35.0616,0.00175,503.395
35.6685,0.00175,502.238
36.2712,0.00175,501.174
36.8699,0.00175,500.199
37.465,0.00175,499.309
38.0567,0.00175,498.502
38.6455,0.00175,497.774
39.2315,0.00175,497.121
39.8151,0.00175,496.539
40.3966,0.00175,496.026
40.9761,0.00175,495.579
41.5539,0.00175,495.194
42.1304,0.00175,494.87
42.7057,0.00175,494.603
43.2801,0.00175,494.393
43.8538,0.00175,494.237
44.427,0.00175,494.135
45,0.00175,494.086
45.573,0.00175,494.089
46.1462,0.00175,494.146
46.7199,0.00175,494.256
47.2943,0.00175,494.421
47.8696,0.00175,494.642
48.4461,0.00175,494.922
49.0239,0.00175,495.262
49.6034,0.00175,495.666
50.1849,0.00175,496.135
50.7685,0.00175,496.674
51.3545,0.00175,497.285
51.9433,0.00175,497.971
52.535,0.00175,498.737
53.1301,0.00175,499.586
53.7288,0.00175,500.521
54.3315,0.00175,501.546
54.9384,0.00175,502.664
55.5501,0.00175,503.878
56.1668,0.00175,505.191
56.7891,0.00175,506.607
33.2109,0.0018,506.909
33.8332,0.0018,505.452
34.4499,0.0018,504.098
35.0616,0.0018,502.842
35.6685,0.0018,501.683
36.2712,0.0018,500.617
36.8699,0.0018,499.639
37.465,0.0018,498.748
38.0567,0.0018,497.938
38.6455,0.0018,497.208
39.2315,0.0018,496.552
39.8151,0.0018,495.969
40.3966,0.0018,495.453
40.9761,0.0018,495.003
41.5539,0.0018,494.616
42.1304,0.0018,494.289
42.7057,0.0018,494.02
43.2801,0.0018,493.807
43.8538,0.0018,493.648
44.427,0.0018,493.543
45,0.0018,493.491
45.573,0.0018,493.491
46.1462,0.0018,493.544
46.7199,0.0018,493.651
47.2943,0.0018,493.813
47.8696,0.0018,494.031
48.4461,0.0018,494.307
49.0239,0.0018,494.644
49.6034,0.0018,495.043
50.1849,0.0018,495.509
50.7685,0.0018,496.043
51.3545,0.0018,496.65
51.9433,0.0018,497.332
52.535,0.0018,498.094
53.1301,0.0018,498.938
53.7288,0.0018,499.868
54.3315,0.0018,500.889
54.9384,0.0018,502.002
55.5501,0.0018,503.211
56.1668,0.0018,504.52
56.7891,0.0018,505.931
33.2109,0.00185,506.505
33.8332,0.00185,505.046
34.4499,0.00185,503.689
35.0616,0.00185,502.432
35.6685,0.00185,501.272
36.2712,0.00185,500.204
36.8699,0.00185,499.226
37.465,0.00185,498.334
38.0567,0.00185,497.524
38.6455,0.00185,496.792
39.2315,0.00185,496.135
39.8151,0.00185,495.55
40.3966,0.00185,495.034
40.9761,0.00185,494.582
41.5539,0.00185,494.194
42.1304,0.00185,493.865
42.7057,0.00185,493.593
43.2801,0.00185,493.378
43.8538,0.00185,493.216
44.427,0.00185,493.109
45,0.00185,493.053
45.573,0.00185,493.05
46.1462,0.00185,493.1
46.7199,0.00185,493.204
47.2943,0.00185,493.361
47.8696,0.00185,493.575
48.4461,0.00185,493.847
49.0239,0.00185,494.179
49.6034,0.00185,494.574
50.1849,0.00185,495.034
50.7685,0.00185,495.563
51.3545,0.00185,496.164
51.9433,0.00185,496.84
52.535,0.00185,497.595
53.1301,0.00185,498.433
53.7288,0.00185,499.357
54.3315,0.00185,500.371
54.9384,0.00185,501.478
55.5501,0.00185,502.68
56.1668,0.00185,503.983
56.7891,0.00185,505.388
33.2109,0.0019,506.214
33.8332,0.0019,504.754
34.4499,0.0019,503.396
35.0616,0.0019,502.139
35.6685,0.0019,500.978
36.2712,0.0019,499.911
36.8699,0.0019,498.932
37.465,0.0019,498.04
38.0567,0.0019,497.23
38.6455,0.0019,496.499
39.2315,0.0019,495.842
39.8151,0.0019,495.257
40.3966,0.0019,494.74
40.9761,0.0019,494.288
41.5539,0.0019,493.898
42.1304,0.0019,493.567
42.7057,0.0019,493.294
43.2801,0.0019,493.077
43.8538,0.0019,492.914
44.427,0.0019,492.803
45,0.0019,492.745
45.573,0.0019,492.739
46.1462,0.0019,492.785
46.7199,0.0019,492.884
47.2943,0.0019,493.038
47.8696,0.0019,493.247
48.4461,0.0019,493.513
49.0239,0.0019,493.84
49.6034,0.0019,494.229
50.1849,0.0019,494.683
50.7685,0.0019,495.205
51.3545,0.0019,495.799
51.9433,0.0019,496.468
52.535,0.0019,497.216
53.1301,0.0019,498.046
53.7288,0.0019,498.963
54.3315,0.0019,499.968
54.9384,0.0019,501.067
55.5501,0.0019,502.262
56.1668,0.0019,503.556
56.7891,0.0019,504.953
33.2109,0.00195,506.009
33.8332,0.00195,504.547
34.4499,0.00195,503.189
35.0616,0.00195,501.932
35.6685,0.00195,500.771
36.2712,0.00195,499.704
36.8699,0.00195,498.727
37.465,0.00195,497.835
38.0567,0.00195,497.026
38.6455,0.00195,496.295
39.2315,0.00195,495.639
39.8151,0.00195,495.054
40.3966,0.00195,494.537
40.9761,0.00195,494.084
41.5539,0.00195,493.694
42.1304,0.00195,493.363
42.7057,0.00195,493.089
43.2801,0.00195,492.87
43.8538,0.00195,492.704
44.427,0.00195,492.591
45,0.00195,492.53
45.573,0.00195,492.521
46.1462,0.00195,492.563
46.7199,0.00195,492.658
47.2943,0.00195,492.807
47.8696,0.00195,493.011
48.4461,0.00195,493.272
49.0239,0.00195,493.592
49.6034,0.00195,493.975
50.1849,0.00195,494.422
50.7685,0.00195,494.937
51.3545,0.00195,495.524
51.9433,0.00195,496.185
52.535,0.00195,496.925
53.1301,0.00195,497.746
53.7288,0.00195,498.654
54.3315,0.00195,499.651
54.9384,0.00195,500.741
55.5501,0.00195,501.927
56.1668,0.00195,503.212
56.7891,0.00195,504.6
33.2109,0.002,505.865
33.8332,0.002,504.403
34.4499,0.002,503.044
35.0616,0.002,501.786
35.6685,0.002,500.625
